match_id,team_id,win,dragon_kills,baron_kills,tower_kills,inhibitor_kills,champion_kills,atakhan_kills,horde_kills,total_gold,total_experience
BR1_3208101251,200,1,4,2,9,1,62,0,0,85627,98511
BR1_3208076134,100,1,2,0,8,1,54,0,3,62368,64108
BR1_3208076134,200,0,1,0,1,0,34,0,0,51561,55145
BR1_3207935283,100,0,0,1,5,0,28,0,3,58237,61396
BR1_3207935283,200,1,3,0,7,1,40,0,0,61819,64952
BR1_3207917480,100,1,2,1,9,1,52,0,0,74727,84218
BR1_3207917480,200,0,2,0,3,0,30,0,3,62069,68116
BR1_3207899505,100,0,1,0,2,0,22,0,1,49079,52660
BR1_3207899505,200,1,3,1,8,1,36,0,2,61139,65549
BR1_3207695790,100,0,0,0,1,0,21,0,3,43014,45980
BR1_3207695790,200,1,2,1,6,1,46,0,0,54366,60004
BR1_3207985777,100,1,2,0,2,0,17,0,3,32471,36957
BR1_3207985777,200,0,0,0,0,0,6,0,0,23972,27640
BR1_3207962821,100,1,4,0,7,1,25,0,3,59815,69369
BR1_3207962821,200,0,0,0,3,0,23,0,0,56892,67170
BR1_3207947209,100,1,1,0,8,1,37,0,0,67435,75848
BR1_3207947209,200,0,4,0,4,0,29,0,3,62793,76504
BR1_3204734620,100,0,0,0,1,0,27,0,0,48904,54398
BR1_3204734620,200,1,3,1,10,1,43,0,3,62667,64437
BR1_3204720235,100,1,4,1,11,2,50,0,3,63363,68713
BR1_3204720235,200,0,0,0,2,0,27,0,0,50084,59047
BR1_3206245187,100,0,1,0,0,0,14,0,3,35805,40483
BR1_3206245187,200,1,1,0,3,0,26,0,0,43857,48251
NA1_5488468234,100,1,1,0,9,1,28,0,2,67050,72778
NA1_5488468234,200,0,3,1,7,0,37,0,0,63710,73402
NA1_5488444855,100,1,2,1,9,1,46,0,0,64205,67757
NA1_5488444855,200,0,1,0,1,0,27,0,3,49769,52092
LA1_1694475372,100,0,0,0,1,0,15,0,0,53027,65537
LA1_1694475372,200,1,4,1,10,2,44,0,3,65514,80224
LA1_1694464886,100,0,0,0,0,0,0,0,0,6406,6079
LA1_1694464886,200,1,0,0,0,0,2,0,0,8500,7417
LA2_1570863380,100,1,2,2,11,3,42,0,2,73708,82303
LA2_1570863380,200,0,2,0,1,0,20,0,1,60222,73059
LA2_1572404831,100,0,1,0,2,0,28,0,0,64291,79303
LA2_1572404831,200,1,3,1,10,1,46,0,3,77250,91212
LA2_1572398070,100,0,0,0,0,0,6,0,3,26086,30125
LA2_1572398070,200,1,2,0,1,0,17,0,0,31224,35851
LA2_1572384716,100,0,0,0,0,0,7,0,0,32434,39308
LA2_1572384716,200,1,2,0,5,0,25,0,3,41252,44667
KR_8095353528,100,0,2,0,3,0,21,0,3,56316,68263
KR_8095353528,200,1,2,0,7,1,46,0,0,66885,76742
KR_8095313144,100,0,0,0,1,0,7,0,0,28255,31398
KR_8095313144,200,1,2,0,0,0,21,0,3,30898,35501
KR_8079449579,100,1,2,1,8,1,41,0,3,57233,63670
KR_8079449579,200,0,1,0,3,0,14,0,0,45436,47769
KR_8079218626,100,1,2,0,9,2,30,0,0,53769,56534
KR_8079218626,200,0,0,0,1,0,11,0,3,39828,45278
KR_8079171222,100,0,0,1,3,0,23,0,3,65473,77129
KR_8079171222,200,1,4,1,7,1,40,0,0,74305,91644
KR_8079132389,100,0,0,0,0,0,7,0,2,32886,40410
KR_8079132389,200,1,3,0,5,0,22,0,1,43303,51567
KR_8079092554,100,0,1,0,5,0,25,0,2,54005,62272
KR_8079092554,200,1,3,1,7,1,35,0,1,60683,70591
KR_8076480094,100,1,3,1,5,0,33,0,0,57156,66876
KR_8076480094,200,0,0,0,2,0,21,0,3,47711,57730
KR_8076410157,100,0,0,0,0,0,10,0,3,37163,43118
KR_8076410157,200,1,3,0,5,0,23,0,0,44576,52108
KR_8076314594,100,1,2,1,4,0,29,0,3,55001,66330
KR_8076314594,200,0,1,0,2,0,13,0,0,45494,50475
KR_8076214407,100,1,3,0,9,1,34,0,0,64449,70863
KR_8076214407,200,0,0,1,5,0,30,0,3,62409,68682
KR_8076107849,100,1,1,1,8,1,14,0,0,60701,74949
KR_8076107849,200,0,3,0,4,0,15,0,3,55797,68659
KR_8085555729,100,0,1,0,0,0,10,0,0,31533,35706
KR_8085555729,200,1,0,0,6,0,37,0,3,45656,48891
KR_8085546461,100,0,0,0,1,0,13,0,1,38703,40390
KR_8085546461,200,1,2,0,4,0,28,0,2,45938,51386
KR_8085544151,100,1,1,0,1,0,21,0,2,33697,37036
KR_8085544151,200,0,1,0,0,0,6,0,1,27129,32752
KR_8095420427,100,0,1,1,5,0,49,0,0,84756,97066
KR_8095420427,200,1,4,1,9,1,52,0,3,82274,95289
KR_8095357073,100,1,4,1,7,1,31,0,1,62042,71069
KR_8095357073,200,0,0,0,2,0,21,0,2,52474,63169
KR_8095241040,100,1,4,1,7,1,50,0,0,84313,99228
KR_8095241040,200,0,1,1,6,0,35,0,3,76339,87945
KR_8085511759,100,0,3,0,5,0,31,0,3,74983,87130
KR_8085511759,200,1,2,2,10,3,35,0,0,81420,97811
KR_8085500774,100,0,0,0,1,0,8,0,2,26162,28104
KR_8085500774,200,1,1,0,3,0,21,0,1,34950,37102
KR_8085487165,100,0,0,0,0,0,7,0,3,25369,30037
KR_8085487165,200,1,2,0,2,0,14,0,0,31379,35070
KR_8095409130,100,1,3,1,9,2,36,0,1,61719,71072
KR_8095409130,200,0,0,0,4,0,13,0,2,49938,55793
KR_8093515830,100,1,4,1,6,0,38,0,0,57536,66854
KR_8093515830,200,0,0,0,3,0,19,0,3,49612,58464
KR_8093475017,100,0,0,0,2,0,21,0,0,47499,53094
KR_8093475017,200,1,3,1,5,0,51,0,3,60388,71109
KR_8093484277,100,1,3,1,10,1,33,0,3,76515,88382
KR_8093484277,200,0,3,1,7,1,25,0,0,75714,87456
KR_8092351686,100,1,2,1,9,1,26,0,3,60718,71959
KR_8092351686,200,0,2,0,3,0,14,0,0,52400,60988
KR_8093564963,100,1,1,0,4,0,25,0,3,36208,36534
KR_8093564963,200,0,0,0,0,0,5,0,0,24066,26468
JP1_565167784,100,0,0,0,4,0,28,0,1,66682,71935
JP1_565167784,200,1,4,2,10,2,44,0,2,76887,89227
JP1_565157910,100,1,1,0,9,2,33,0,1,68101,74660
JP1_565157910,200,0,3,1,1,0,18,0,2,58517,69450
JP1_565891381,100,0,0,0,3,0,26,0,3,55927,59529
JP1_565891381,200,1,2,1,7,1,49,0,0,66504,76409
JP1_565890093,100,0,1,0,3,0,20,0,0,51678,58232
JP1_565890093,200,1,3,1,8,1,41,0,3,63447,73780
JP1_565988720,100,0,0,0,1,0,7,0,3,38389,44581
JP1_565988720,200,1,3,0,4,0,26,0,0,46767,54080
JP1_565975025,100,1,0,1,8,1,34,0,3,71581,89474
