match_id,participant_id,puuid,summoner_name,summoner_id,team_id,champion_id,champion_name,individual_position,rank_tier,rank_division,summoner1_id,summoner2_id,summoner1_name,summoner2_name,item0,item1,item2,item3,item4,item5,item6,win,kills,deaths,assists,gold_earned,champion_experience,total_damage_dealt_to_champions
EUW1_7728928854,2,9eLYkE8QMFCHwpIRsSjpvg42YWoW-x_fLStPPEsprb7HH9WrVsp8AlFQ8VWoQlgHBm5Jm10hivYvNQ,,owko_Kcs5JhNVP15XKSyQtr2HHft7qyh-9xBsETM7HW1mn8y-FRYRVAvsA,100,517,Sylas,JUNGLE,UNRANKED,,11,4,,,1082,4633,3152,2422,8010,2055,3364,1,6,4,13,9846,10034,16517
EUW1_7728928854,3,X4K7zSsMKGcVhMc-0x2POxYua2a0N9CEGIZ9iiqhWMYNNUr-zxq7OFn7BrFz0iTCK0obIq01Eq2HIg,,SOU1DIb1XATeOKkfOXhx-UWqqRa59qRF2dverRNV7LkJn-TKi2ZQlCzlwg,100,126,Jayce,MIDDLE,UNRANKED,,14,4,,,3173,3142,3042,1036,2055,1055,3363,1,2,3,9,8379,9698,15981
EUW1_7728928854,4,9RGJ1mOK0tz2oODVEXvRfCHkPV0MJRKjIo60XOe0h-AvH24HwFkCf6ShN2lFfMFbvWbOfkE81r0ROA,,Hde9aEYp859J2BL7V2YBn4LVvIvmp6B5TKGuPQQtA6x6Y_rK,100,202,Jhin,BOTTOM,UNRANKED,,4,21,,,1055,3094,3097,0,0,0,3363,1,6,2,3,9140,9196,9232
EUW1_7728928854,5,dYgDZZRLVqQDh9rHszqm7KIi_ADFcKjolhRMzXjprFGK1QYTXGtva25GYwgppGdIpiTw1Ll5t3g-tQ,,Nj0AmJA2io6Ib3OvG-TK2G2n6QQ3bgEsjhAav_CEdPEKv_Y,100,161,Velkoz,SUPPORT,UNRANKED,,7,4,,,6655,2420,1082,3869,1058,3158,3364,1,7,0,10,7966,7233,14116
EUW1_7728928854,6,GoCp_lufPOpSQi5owCYrOAjdMAVHGGeyQtsUxvZwSlq0RKq3b0kVoGw2unrnRqmLTwGqH8jdpOq9OA,,0H1cbptoBdSsUygQGCNifQozvgz1fBIz7tByu39X96TgQL4,200,39,Irelia,TOP,UNRANKED,,14,4,,,3153,1057,1055,1043,1001,1042,3340,0,3,8,0,7420,9332,12919
EUW1_7728928854,7,lC7N0SQlzvtoKf4CQj-rTUk4luXCOLOPNBPKOYKa56urzW4zAUk9kvelfYBColoo_qkuWqA-VNMCnA,,7w4-rYYxbfcwO323ACsJGMniLIhB7tk2xJjMv8XQTiG8WDEWfUGe8aenxQ,200,950,Naafiri,JUNGLE,UNRANKED,,11,4,,,3050,6696,1001,1036,1037,1036,3340,0,2,6,4,7600,8109,11370
EUW1_7728928854,8,hQlWpAtttSt0NgWaAZ5hK_0h4Ipy-uzYTjCnN1IegehDBYg0B2t4aDv1eHLDZspaMBuhGDqvEFbhEQ,,Ssv9Hr3BfYH-lqei2s2RjzlQiYi8vtRlL_kVWDe3ADsaOac,200,245,Ekko,MIDDLE,UNRANKED,,12,4,,,1056,3152,1082,3175,1058,3145,3364,0,3,6,3,7998,9328,10599
EUW1_7728928854,9,DiAwEFHGi4ppBssuOTjH2GFJGqrzq2yCinQb3ZMT6OAk8H8P9Q0BLiDc02n3ZDsOf--30qZC8ROvfw,,RsRDyUQZe0oZxpb8PXiLoUom6uYpV2JZieCTbpk5BQqK1by5,200,85,Kennen,BOTTOM,UNRANKED,,4,6,,,1055,1052,3152,1082,1058,0,3340,0,3,5,0,7480,7399,10970
EUW1_7728928854,10,2XLsrjfrJTg86J4-njcW7FDTP7mhCmN4kuZYtK0qQDw5VUl81xd4y3NHsXi5AsqH2zJp2mNnqpVWtQ,,ThnaFK3YpkxAJ3WVe-PTSqUZJiQ_5jlMIolzr4yS_uqqItUvNNr_NQAT6g,200,497,Rakan,SUPPORT,UNRANKED,,4,7,,,3190,2031,3869,3111,0,0,3364,0,0,4,3,5035,4491,3203
EUW1_7727494608,1,0VfMRzQGBTv9suh9RSp7v8rtVKNjSYSKMqZcmkISJTbodOd4D6bpH-iyrX0cDz4IsnbM0du2KNmCzw,,eFAfoqewlqhm3Gacv61fF3ezGo5PNh3ClT9JTLTKTu0Ru6ZbuMfnsRXl2Q,100,19,Warwick,TOP,UNRANKED,,21,4,,,3111,6631,3157,1028,3053,3181,3364,0,11,11,6,16229,19322,33489
