match_id,participant_id,slot,spell_id
EUW1_7739514064,5,1,7
EUW1_7739514064,5,2,4
EUW1_7739514064,6,1,4
EUW1_7739514064,6,2,14
EUW1_7739514064,7,1,4
EUW1_7739514064,7,2,11
EUW1_7739514064,8,1,4
EUW1_7739514064,8,2,12
EUW1_7739514064,9,1,4
EUW1_7739514064,9,2,21
EUW1_7739514064,10,1,7
EUW1_7739514064,10,2,4
EUW1_7739460104,1,1,4
EUW1_7739460104,1,2,12
EUW1_7739460104,2,1,4
EUW1_7739460104,2,2,11
EUW1_7739460104,3,1,6
EUW1_7739460104,3,2,4
EUW1_7739460104,4,1,4
EUW1_7739460104,4,2,12
EUW1_7739460104,5,1,4
EUW1_7739460104,5,2,7
EUW1_7739460104,6,1,4
EUW1_7739460104,6,2,12
EUW1_7739460104,7,1,4
EUW1_7739460104,7,2,11
EUW1_7739460104,8,1,4
EUW1_7739460104,8,2,12
EUW1_7739460104,9,1,4
EUW1_7739460104,9,2,6
EUW1_7739460104,10,1,14
EUW1_7739460104,10,2,4
EUW1_7739411006,1,1,14
EUW1_7739411006,1,2,4
EUW1_7739411006,2,1,11
EUW1_7739411006,2,2,4
EUW1_7739411006,3,1,4
EUW1_7739411006,3,2,3
EUW1_7739411006,4,1,4
EUW1_7739411006,4,2,21
EUW1_7739411006,5,1,7
EUW1_7739411006,5,2,4
EUW1_7739411006,6,1,4
EUW1_7739411006,6,2,14
EUW1_7739411006,7,1,11
EUW1_7739411006,7,2,4
EUW1_7739411006,8,1,14
EUW1_7739411006,8,2,4
EUW1_7739411006,9,1,4
EUW1_7739411006,9,2,21
EUW1_7739411006,10,1,14
EUW1_7739411006,10,2,4
EUW1_7739374797,1,1,12
EUW1_7739374797,1,2,4
EUW1_7739374797,2,1,11
EUW1_7739374797,2,2,4
EUW1_7739374797,3,1,6
EUW1_7739374797,3,2,4
EUW1_7739374797,4,1,4
EUW1_7739374797,4,2,21
EUW1_7739374797,5,1,14
EUW1_7739374797,5,2,4
EUW1_7739374797,6,1,12
EUW1_7739374797,6,2,4
EUW1_7739374797,7,1,4
EUW1_7739374797,7,2,11
EUW1_7739374797,8,1,12
EUW1_7739374797,8,2,4
EUW1_7739374797,9,1,4
EUW1_7739374797,9,2,21
EUW1_7739374797,10,1,7
EUW1_7739374797,10,2,4
EUW1_7739302156,1,1,21
EUW1_7739302156,1,2,4
EUW1_7739302156,2,1,4
EUW1_7739302156,2,2,11
EUW1_7739302156,3,1,12
EUW1_7739302156,3,2,4
EUW1_7739302156,4,1,4
EUW1_7739302156,4,2,21
EUW1_7739302156,5,1,7
